id,name,vat_able,type
15,Afrihost,true,Expense
16,Anthropic,false,Expense
17,Assets,true,Expense
18,Bank fees,true,Expense
19,Depreciate,false,Expense
21,Flowers,false,Expense
22,Gas,false,Expense
23,Google,true,Expense
24,P-Groceries,false,Personal
25,Labour,false,Expense
26,Linkedin,true,Expense
27,Telecoms,true,Expense
28,Office rent,false,Expense
29,OpenAi,false,Expense
30,Parking & Tolls,false,Expense
31,Perplexity,false,Expense
32,Replit,false,Expense
33,Slack,true,Expense
34,Software,true,Expense
36,Stationery,true,Expense
37,Sub-contract,true,COGS
38,Supplies & Materials,true,Expense
39,Travel,false,Expense
40,Xneelo,true,Expense
41,P-Travel,false,Personal
42,P-Utilities,false,Personal
43,INTERNAL,false,Exclude
44,P-Entertainment,false,Personal
45,P-Uber,false,Personal
46,P-Schooling,false,Personal
47,P-Takelot,false,Personal
48,P-Insurance,false,Personal
49,P-Interest,false,Personal
50,P-Pharmacy,false,Personal
51,P-FNB,false,Personal
52,IGNORE SARS,false,Exclude
53,P-Medical,false,Personal
54,P-Takeaway,false,Personal
55,P-Cars,false,Personal
56,P-Pets,false,Personal
57,Eating out,false,Expense
58,P-Gifts,false,Personal
59,Subscriptions,false,Expense
60,P-Clothing,false,Personal
61,P-Beauty,false,Personal
62,Deepseek,false,Expense
63,P-Loan,false,Personal
64,P-Home,false,Personal
65,P-Income,false,Personal
66,P-Assets,false,Personal
67,Invoice-Unpaid,true,Revenue
68,Invoice-Paid,true,Revenue
