id,description_pattern,category_id,created_at
20,MTN,27,2025-06-02T08:57:21.825Z
21,WOOLWORTHS,24,2025-06-02T08:57:21.825Z
22,ESKOM,42,2025-06-02T09:00:35.665Z
23,ROCKVALE BOND,43,2025-06-02T09:02:11.243Z
24,CARD FEE,18,2025-06-02T09:02:27.336Z
25,FASTER PAYMENT,18,2025-06-02T09:02:50.839Z
26,SERVICE CHARGE,18,2025-06-02T09:03:11.336Z
27,PLAYSTATION,44,2025-06-02T09:04:04.804Z
28,CHECKERS,24,2025-06-02T09:04:37.555Z
29,CITY OF JOHANNESBURG,42,2025-06-02T09:05:11.361Z
30,UBER,45,2025-06-02T09:05:59.893Z
31,XNEELO,40,2025-06-02T09:07:45.663Z
32,TAKEALO*T,47,2025-06-02T09:08:37.731Z
33,AFRIHOST,15,2025-06-02T09:09:28.273Z
34,ANTHROPIC,16,2025-06-02T09:09:40.262Z
35,GOOGLE,23,2025-06-02T09:10:07.155Z
36,OPENAI,29,2025-06-02T09:10:34.922Z
38,PERPLEXITY,31,2025-06-02T09:14:32.401Z
39,REPLIT,32,2025-06-02T09:14:46.552Z
40,KARRI,46,2025-06-02T09:15:16.184Z
41,BRESCIA,46,2025-06-02T09:15:29.810Z
42,ROCKVALE LEVY,42,2025-06-02T09:16:05.095Z
43,OLD MUTUAL,48,2025-06-02T09:16:55.656Z
44,PPS 0,48,2025-06-02T09:17:13.439Z
45,HOLL,48,2025-06-02T09:17:26.898Z
46,GODI,25,2025-06-02T09:18:00.304Z
47,INTEREST,49,2025-06-02T09:18:48.191Z
48,FIREWOOD,42,2025-06-02T09:19:20.643Z
49,ADVANCE NICOLWAY,30,2025-06-02T09:20:08.191Z
50,CLICKS,50,2025-06-02T09:21:41.022Z
51,DISCHEM,50,2025-06-02T09:21:53.526Z
52,BUTCHERY,24,2025-06-02T09:23:29.367Z
53,MY FNB,51,2025-06-02T09:24:31.913Z
54,INVESTEC,43,2025-06-02T09:30:33.056Z
55,SARS,52,2025-06-02T09:31:22.671Z
56,DISC PREM,48,2025-06-02T09:31:43.430Z
57,DR ,53,2025-06-02T09:32:47.788Z
58,LANCET,53,2025-06-02T09:33:07.831Z
59,WORKFLOWY,34,2025-06-02T09:33:29.523Z
60,FF ABSA,43,2025-06-02T09:34:25.997Z
61,ENT GAUTENG,30,2025-06-02T09:37:47.267Z
62,PARKING,30,2025-06-02T09:38:16.186Z
63,BOLT.EU,45,2025-06-02T09:38:40.837Z
64,MRDFOOD,54,2025-06-02T09:39:43.628Z
65,KITA DANCE,46,2025-06-02T09:40:24.522Z
66,KUMON,46,2025-06-02T09:40:37.824Z
67,MIKO,25,2025-06-02T09:41:04.818Z
68,MODULAR,44,2025-06-02T09:41:21.330Z
69,MR D FOOD,54,2025-06-02T09:42:02.892Z
70,MR DELIVERY,24,2025-06-02T09:42:17.516Z
71,NETSTAR,55,2025-06-02T09:43:08.988Z
72,TRACKER,55,2025-06-02T09:43:21.266Z
73,PAY SHAP,18,2025-06-02T09:43:46.237Z
74,RTMC,55,2025-06-02T09:44:11.603Z
75,TELKOM,27,2025-06-02T09:45:12.022Z
76,VIRGIN,44,2025-06-02T09:46:28.962Z
77,AICAROUSEL,34,2025-06-02T09:46:45.184Z
78,ITUNES,34,2025-06-02T09:47:34.724Z
79,PETS,56,2025-06-02T09:48:13.275Z
80,PAWSITI,56,2025-06-02T09:48:35.909Z
81,FAMILY VET,56,2025-06-02T09:48:58.174Z
82,MCCULLAGH,46,2025-06-02T12:00:35.197Z
83,SEATTLE,57,2025-06-02T12:01:52.948Z
84,MUGG,57,2025-06-02T12:02:15.318Z
85,THE PANTRY,57,2025-06-02T12:02:38.883Z
86,DULCE,57,2025-06-02T12:02:57.955Z
87,TASHAS,57,2025-06-02T12:03:26.599Z
88,THE MAGIC COMPANY,44,2025-06-02T12:05:00.059Z
89,FLYSAFAIR,39,2025-06-02T12:05:40.169Z
90,LIFE GRAND CAFE,44,2025-06-02T12:08:00.459Z
91,ROCO MAMAS,54,2025-06-02T12:20:46.850Z
92,SHANON,61,2025-06-02T12:22:58.533Z
93,SHEIN,60,2025-06-02T12:31:10.073Z
94,SHENDUQRWEA,62,2025-06-02T12:32:11.348Z
95,SPAR,24,2025-06-02T12:41:02.398Z
96,MALL MANAGING A,30,2025-06-02T12:43:00.078Z
97,CC XTRA SAVINGS,24,2025-06-02T16:11:20.591Z
98,THE GREEN DAIL,30,2025-06-02T16:49:14.102Z
99,MER29601466,30,2025-06-02T16:49:38.178Z
100,AE DAINFERN,24,2025-06-02T16:50:23.985Z
101,91_IP-376042,65,2025-06-03T08:08:28.315Z
